,ID,TIPO,INSTITUCIO,CALLE,NUMERO,REFERENCIA,COLONIA,C_P_,Observacio,Alcaldía,geometry
625,626.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Av. Tlahuac,4421,,Lomas Estrella,09890,,Iztapalapa,POINT (-99.09266890239763 19.32030711191765)
626,627.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Avenida 11,32,,El Vergel,09880,,Iztapalapa,POINT (-99.08410246344151 19.318843738314293)
627,628.0,CENTRO Y PLAZA COMERCIAL,Plaza El Vergel,Av. Tlahuac,1535,,El Vergel,09880,,Iztapalapa,POINT (-99.08077510746385 19.31925213483689)
628,629.0,TIENDAS DE AUTO SERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Av. Tláhuac,1577,Entre las Torres y Periférico,Guadalupe Barrio,09900,,Iztapalapa,POINT (-99.0722490872799 19.315191970371256)
629,630.0,CENTRO Y PLAZA COMERCIAL,Parque Las Antenas,Calz. Canal de Garay,89,,La Esperanza,09910,Tiene un Walmart y Liverpool,Iztapalapa,POINT (-99.07704078943786 19.31449100472838)
630,631.0,TIENDA DE AUTOSERVICIO_1,Walmart,Av. Tlahuac,5662,,San Lorenzo Tezonco,09790,,Iztapalapa,POINT (-99.05971043792478 19.307012416502833)
631,632.0,TIENDA DE AUTOSERVICIO_1,Soriana Reforma Ermita,Calz. Ermita Iztapalapa,3016,,Reforma Política,09730,,Iztapalapa,POINT (-99.0282788293229 19.343984830153076)
632,633.0,CENTRO Y PLAZA COMERCIAL,Plaza Ermita Iztapalapa,Calz. Ermita Iztapalapa,3417,,Xalpa,09640,,Iztapalapa,POINT (-99.01824113796086 19.347800411553145)
633,634.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Calz. Ermita Iztapalapa,3419,,Xalpa,09640,,Iztapalapa,POINT (-99.01836725535114 19.34674697353192)
634,635.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Lucio Blanco,mz 19 lt2-A,,La Era,09720,,Iztapalapa,POINT (-99.05388221772289 19.339631805392276)
635,636.0,TIENDA DE AUTOSERVICIO_1,Chedraui,Cuauhtemoc,139,,Sta. Cruz Meyehualco,09700,,Iztapalapa,POINT (-99.03823763629346 19.33939237223049)
636,637.0,CENTRO Y PLAZA COMERCIAL,Forum Ermita,Calle 5,17,,Granjas de San Antonio,09070,,Iztapalapa,POINT (-99.11042135419814 19.357176921035016)
637,638.0,TIENDA DE AUTOSERVICIO_1,Soriana,Av. del Árbol,131,,Consejo Agrarista Mexicano,09760,,Iztapalapa,POINT (-99.05597250823807 19.32087145246506)
638,639.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Villa Feliche,16,,Carlo Hank Gonzalez,09700,,Iztapalapa,POINT (-99.04851575635442 19.329569371963814)
639,640.0,CENTRO Y PLAZA COMERCIAL,Mercado Carlos Hank González,Villa Figueroa,s/n,,Carlos Hank González,09700,,Iztapalapa,POINT (-99.05136263407248 19.329424043336747)
640,641.0,,CENTRO Y PLAZA COMERCIAL,Tezozomoc,s/n,,Mixcoatl,09708,,Iztapalapa,POINT (-99.05079030086905 19.32599889383167)
641,642.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Av. del Vergel,224,,Presidentes de México,09740,,Iztapalapa,POINT (-99.05719594724509 19.33338443947083)
642,643.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Guadalupe Victoria,115,,Sta. Cruz Meyehualco,09700,,Iztapalapa,POINT (-99.04431508295094 19.338849973137258)
643,644.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Calz Ermita Iztapalapa,2771,,Sta Cruz Meyehualco,09700,,Iztapalapa,POINT (-99.03576951480238 19.343148435835047)
644,645.0,CENTRO Y PLAZA COMERCIAL,Plaza Iztapalapa Center,Calz Ermita Iztapalapa,4050-C,,Sta Martha Acatitla,09510,,Iztapalapa,POINT (-99.00800744615577 19.355935843478957)
645,646.0,TIENDA DEPARTAMENTAL_1,Coppel Santa Martha,Calz Ermita Iztapalapa,4050-C,,Santa Martha Acatitla,09510,,Iztapalapa,POINT (-99.00224129362257 19.35824279983394)
646,647.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Francisco I. Madero,L77,,Mguel de la Madrid Huertado,09698,,Iztapalapa,POINT (-99.00124234219219 19.345559424464223)
647,648.0,TIENDA DE AUTOSERVICIO_1,Super ISSSTE,Ejercito de Chilpancingo Sur,s/n,,Ermita Zaragoza,09180,,Iztapalapa,POINT (-98.99521972220938 19.364136336653168)
648,649.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Calz Ingnacio Zaragoza,mz-131 LT-16,,Sta Martha Acatitla Norte,09140,,Iztapalapa,POINT (-99.01149233208754 19.370484198563197)
649,650.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,José de la Luz Blanco,1535,,Santa Martha Acatitla,09140,,Iztapalapa,POINT (-99.01564450643428 19.380893348783356)
650,651.0,CENTRO Y PLAZA COMERCIAL,Plaza Guelatao,Ignacio Zaragoza,s/n,,Juan Escutia,09100,,Iztapalapa,POINT (-99.03623066275412 19.386389219367267)
651,652.0,CENTRO Y PLAZA COMERCIAL,Plaza Zaragoza,NULCalz Ignacio Zaragoza,1450,,Juan Escutia,09100,Hay un Soriana,Iztapalapa,POINT (-99.05112105518897 19.394986740041404)
652,653.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Av México,14A,,Paraje Zacatepec,09560,,Iztapalapa,POINT (-99.021780347824 19.35767328617141)
653,654.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Av José María Morelos y Pavón,27,,Santa María Aztahuacan,09500,,Iztapalapa,POINT (-99.03405457709728 19.34859575355563)
654,655.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Jalisco,15,,Santa María Aztahuacan,09500,,Iztapalapa,POINT (-99.02495883338177 19.345334416493056)
655,656.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,16 de Septiembre,33,,Santa Martha Acatitla,09510,,Iztapalapa,POINT (-99.00941953836671 19.364308616870893)
656,657.0,TIENDA DE AUTOSERVICIO_1,Chedraui,Manzanillo,14,,San Sebastian Tecoloxtitla,09520,,Iztapalapa,POINT (-99.01942381428897 19.36087654590378)
657,658.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Anillo Periferico Sec B,LT21 MZ17,,Constitución de 1917,09260,,Iztapalapa,POINT (-99.0589263061643 19.344232016680046)
