"folio","tipo_comedor","denominacion_o_razon_social","alcaldia","calle","numero_exterior","interior","colonia","latitud","longitud"
"CPOP14","Comedor Popular","Comedor Brigitte","MIGUEL HIDALGO","LORENZO GARZA","21-G",NA,"PUEBLO SAN LORENZO TLALTENANGO",19.46808123,-99.20934377
"CPOP15","Comedor Popular","Comedor Bugambilias","TLALPAN","NICOLÁS BRAVO","35",NA,"SAN ANDRÉS TOTOLTEPEC",19.25269539,-99.16773855
"CPOP16","Comedor Popular","Comedor Cana De Amor","TLÁHUAC","MELCHOR OCAMPO","7",NA,"OLIVAR SANTA MARÍ­A",19.25154032,-99.01058483
"CPOP17","Comedor Popular","Comedor Castillo Maya","XOCHIMILCO","MIGUEL HIDALGO","6",NA,"PUEBLO SAN GREGORIO ATLAPULCO",19.25221983,-99.05371602
"CPOP18","Comedor Popular","Comedor Cilantro y Perejil","IZTAPALAPA","SUR 25 (ESQ. CALLE 10)","MZ 20","LT 201","LEYES DE REFORMA (1A SECCIÓN)",19.36195901,-99.06902275
"CPOP19","Comedor Popular","Comedor Citlalli","GUSTAVO A. MADERO","ORIENTE","MZ 56, #4","LT 10","CUCHILLA DEL TESORO",19.44818338,-99.0554226
"CPOP20","Comedor Popular","Comedor Como Agua para Chocolate","COYOACÁN","CANACUATE","12",NA,"SANTO DOMINGO COYOACÁN",19.3259881,-99.16495455
"CPOP21","Comedor Popular","Comedor Cruzita","XOCHIMILCO","NÍSPERO","2",NA,"SANTA CRUZ XOCHITEPEC",19.25903561,-99.12906916
"CPOP22","Comedor Popular","Comedor CuÃ¡uhtemoc","IZTACALCO","ORIENTE 253","129",NA,"AGRÍ­COLA ORIENTAL",19.3965409,-99.065039
"CPOP23","Comedor Popular","Comedor Cuauhtli","TLALPAN","CUAUHTLI","13",NA,"LOMAS DE TEPEMECATL",19.24134429,-99.2330591
"CPOP24","Comedor Popular","Comedor Cuisine Quinta","IZTAPALAPA","OCTAVIO MORALES","MZ 175","LT 19","SANTA MARTHA ACATLITA NORTE",19.37531224,-99.00947742
"CPOP25","Comedor Popular","Comedor De las Delicias","IZTAPALAPA","AV. FUERTE DE LORETO","115",NA,"EJÉRCITO DE AGUA PRIETA",19.36453582,-99.0262951
"CPOP26","Comedor Popular","Comedor Digna Ochoa","ÁLVARO OBREGÓN","MINAS DE DIAMANTE","MZ 7","LT 15","PALMAS AXOTITLA",19.35329339,-99.23708989
"CPOP27","Comedor Popular","Comedor Don ComelÃ³n","TLÁHUAC","OJO DE AGUA","139",NA,"OJO DE AGUA",19.29152726,-99.0124037
"CPOP28","Comedor Popular","Comedor Don Pancho","MIGUEL HIDALGO","CALZADA MÉXICO TACUBA","1275",NA,"ARGENTINA ANTIGUA",19.45710505,-99.20529219
"CPOP29","Comedor Popular","Comedor DoÃ±a Ãngela","CUAJIMALPA","AV. PUERTO MÉXICO","120",NA,"ZENTLAPA",19.35376748,-99.30874628
"CPOP30","Comedor Popular","Comedor DurÃ¡n","CUAUHTÉMOC","DOCTOR DURÁN","12",NA,"DOCTORES",19.41194707,-99.14492852
"CPOP31","Comedor Popular","Comedor Ebenezer","IZTAPALAPA","CALLE 31 DE JULIO DE 1859","MZ 88","LT 906-A","LEYES DE REFORMA 3A SECCIÓN",19.37816517,-99.07361042
"CPOP32","Comedor Popular","Comedor EjÃ©rcito","IZTAPALAPA","ANTONIO DE LEÓN LOYOLA","MZ 60","LT 8","UNIDAD HABITACIONAL EJÉRCITO CONSTITUCIONALISTA",19.38807335,-99.05023093
"CPOP33","Comedor Popular","Comedor El Buen SazÃ³n","IZTACALCO","SUR 20 (SALÓN DE USOS MÚLTIPLES)","455",NA,"AGRÍ­COLA ORIENTAL, UH SUR 20",19.39118298,-99.06938553
"CPOP34","Comedor Popular","Comedor El Cambio","CUAJIMALPA","HUIZACHITO","9",NA,"EL HUIZACHITO",19.36977435,-99.28069795
"CPOP35","Comedor Popular","Comedor el CorazÃ³n Dulce","IZTAPALAPA","3A DE CARLOS MANCILLA","MZ 6","LT 17","UNIDAD HABITACIONAL VICENTE GUERRERO",19.3554739,-99.05443184
"CPOP36","Comedor Popular","Comedor El EdÃ©n","TLÁHUAC","AV. 5 DE MAYO","5",NA,"PUEBLO SAN NICOLÁS TETELCO",19.21473491,-98.97596362
"CPOP37","Comedor Popular","Comedor El FogÃ³n","GUSTAVO A. MADERO","MANTO DE LA VIRGEN","MZ 29","LT 20","LUIS DONALDO COLOSIO",19.56075187,-99.14580046
